country_iso3,year,education_spend_pct_gdp,gdp_per_capita_usd,health_spend_pct_gdp,life_expectancy,rd_spend_pct_gdp
ARE,1995,,27003.2006807782,,71.392,
ARE,1996,,28323.1650870532,,71.82,
ARE,1997,,27982.7957040564,,72.559,
ARE,1998,,24889.4269192279,,73.66,
ARE,1999,,25855.8605046587,,74.982,
ARE,2000,,29865.502347066,2.39504457,76.347,
ARE,2001,,27745.1708087672,2.48436403,77.621,
ARE,2002,,27753.6089526346,2.71770859,78.721,
ARE,2003,,29659.5428567811,2.64634395,79.6,
ARE,2004,,33376.7152295209,2.46225643,80.272,
ARE,2005,,38719.3138307623,2.3202107,80.779,
ARE,2006,,44342.6048322482,2.3254137,81.155,
ARE,2007,,45854.7325158162,2.56602693,81.438,
ARE,2008,,50054.1700681803,2.92857623,81.591,
ARE,2009,,37803.0663738777,4.05000162,81.679,
ARE,2010,,44795.2949302268,3.74433136,81.886,
ARE,2011,,51921.904511613,3.56666398,81.898,0.47252
ARE,2012,,53141.6124340099,3.33596373,81.913,
ARE,2013,,53247.2409495441,3.50222182,81.95,
ARE,2014,,52725.2358407934,3.53405499,81.99,0.67523
ARE,2015,,44910.334995523,3.46609354,82.076,0.86569
ARE,2016,,42721.0999383185,3.89580107,82.195,0.9318
ARE,2017,,43733.6192287435,4.00854969,82.388,
ARE,2018,,47135.3591943971,4.09854221,82.449,1.26389
ARE,2019,3.86019992828369,45938.6073581994,4.40291262,82.596,1.31065
ARE,2020,3.98417997360229,37991.7492971665,5.82477045,81.936,1.48831
ARE,2021,3.89404010772705,44118.5047192771,5.30494308,79.083,1.49469
ARE,2022,,50759.7589231191,4.56536388,80.487,
ARE,2023,,49850.6872175164,4.97095108,82.909,
ARE,2024,,50273.5060469837,,83.069,
ARG,1995,,7357.6162773788,,72.864,
ARG,1996,3.73198008537292,7663.21271287469,,73.056,0.41749
ARG,1997,,8146.78710021431,,73.407,0.41959
ARG,1998,4.03986978530884,8218.99212764682,,73.412,0.41131
ARG,1999,4.52167987823486,7705.54288252851,,73.683,0.45337
ARG,2000,4.58030986785889,7637.01489203628,8.22001076,73.91,0.43884
ARG,2001,4.833740234375,7141.47507662826,8.26966286,74.154,0.4246
ARG,2002,4.01734018325806,2569.69963519124,7.33203077,74.312,0.38886
ARG,2003,3.53504991531372,3320.47775133903,6.92670012,74.307,0.41012
ARG,2004,3.48652005195618,4242.02099089422,7.09477043,74.871,0.40376
ARG,2005,3.86000990867615,5067.65342293276,7.73392439,75.231,0.42075
ARG,2006,4.12821006774902,5869.38028970204,7.70940399,75.279,0.45216
ARG,2007,4.46260976791382,7185.25155147027,7.86196613,74.783,0.46007
ARG,2008,4.84438991546631,8944.1102657357,8.24087811,75.428,0.47055
ARG,2009,5.53105020523071,8150.23527028221,9.56852913,75.577,0.58398
ARG,2010,5.01972007751465,10260.1313108254,9.4852438,75.68,0.56104
ARG,2011,5.29063987731934,12704.2831819684,9.51042366,76.1,0.56597
ARG,2012,5.3458399772644,12949.717486654,9.8851881,75.802,0.63491
ARG,2013,5.43660020828247,12963.675773326,9.92091465,75.829,0.61849
ARG,2014,5.36144018173218,12233.1444119186,9.79773045,76.268,0.59396
ARG,2015,5.77611017227173,13679.6264980954,10.27364159,76.6,0.62262
ARG,2016,5.54548978805542,12699.9623137756,10.05355549,76.105,0.55815
ARG,2017,5.45432996749878,14532.5009308511,10.26057911,76.543,0.55632
ARG,2018,4.87773990631104,11752.7998922979,10.17289257,76.77,0.4883
ARG,2019,4.77165985107422,9955.97478680428,10.11911297,76.847,0.47813
ARG,2020,5.27689981460571,8535.59938004389,10.67246342,75.878,0.54126
ARG,2021,4.65393018722534,10738.0179223384,11.00910187,73.948,0.5236
ARG,2022,4.79263019561768,13962.1894087223,10.15950489,75.806,0.54951
ARG,2023,5.00324010848999,14261.8465667948,10.2695179,77.395,0.60111
ARG,2024,,13969.7836603737,,77.543,
AUS,1995,,20479.1748274233,,77.8292682926829,
AUS,1996,,22055.838490507,,78.0780487804878,1.66218
AUS,1997,,23683.4948964934,,78.4804878048781,
AUS,1998,,21516.0403147759,,78.6317073170732,1.51351
AUS,1999,,20749.6443779096,,78.9317073170732,
AUS,2000,,21908.9968019784,7.58869076,79.2341463414634,1.57198
AUS,2001,,19733.6510102645,7.67391729,79.6341463414634,
AUS,2002,,20335.0960191023,7.87221003,79.9365853658537,1.74654
AUS,2003,,23757.5898471684,7.87659502,80.2390243902439,
AUS,2004,,30886.0500949401,8.08257675,80.490243902439,1.84802
AUS,2005,,34535.20727091,7.9648633,80.8414634146341,
AUS,2006,,36658.8243476122,7.97161102,81.0414634146342,2.17862
AUS,2007,,41128.2476618402,8.0517149,81.2926829268293,
AUS,2008,,49811.2067218988,8.24737453,81.3951219512195,2.39898
AUS,2009,,42954.8494884573,8.54273987,81.5439024390244,
AUS,2010,,52313.8939041213,8.4193306,81.6951219512195,2.3702
AUS,2011,,62799.3895017032,8.53425312,81.8951219512195,2.23459
AUS,2012,,68301.4402512587,8.67020702,82.0463414634146,
AUS,2013,,68476.6788496118,8.7465601,82.1487804878049,2.17733
AUS,2014,,62817.2061751737,9.82833862,82.3,
AUS,2015,,56970.3613028094,10.13642025,82.4,1.91969
AUS,2016,,50084.4440606385,10.08958244,82.4487804878049,
AUS,2017,,54117.547718609,10.10880566,82.5,1.88102
AUS,2018,,57410.1737346009,10.08907509,82.7487804878049,
AUS,2019,,55194.7585097428,10.25421429,82.9,1.82826
AUS,2020,5.38625001907349,51983.4523666382,10.70324135,83.2,
AUS,2021,5.34109020233154,60758.9044397144,10.51612186,83.3,1.85783
AUS,2022,5.05915021896362,65169.5191118657,9.89226055,83.2,
AUS,2023,,65058.3773146674,10.39852047,83.0512195121951,
AUS,2024,,64603.9856308464,,83.0512195121951,
AUT,1995,5.44969987869263,30207.0674314652,,76.6682926829268,
AUT,1996,5.28883981704712,29645.9451251491,,76.8707317073171,1.58947
AUT,1997,,26571.7523626508,,77.319512195122,1.66324
AUT,1998,6.13726997375488,27212.4642905708,,77.6707317073171,1.74106
AUT,1999,6.13599014282227,27078.7081612201,,77.8756097560976,1.85251
AUT,2000,5.62036991119385,24487.2974685956,9.38934517,78.1268292682927,1.89667
AUT,2001,5.60476016998291,24430.495982841,9.45243549,78.5756097560976,2.00257
AUT,2002,5.56255006790161,26334.862215032,9.59139919,78.6780487804878,2.0811
AUT,2003,5.39253997802734,32110.1159661425,9.69844246,78.6317073170732,2.18701
AUT,2004,5.34223985671997,36614.2506533707,9.81532383,79.1804878048781,2.18238
AUT,2005,5.28515005111694,38157.37022862,9.71779728,79.3317073170732,2.38942
AUT,2006,5.26367998123169,40382.2078298575,9.64073944,79.8804878048781,2.376
AUT,2007,5.17918014526367,46622.9622913635,9.60482597,80.1804878048781,2.4336
AUT,2008,5.2985200881958,51581.3982361071,9.83415222,80.4317073170732,2.58632
AUT,2009,5.76567983627319,47857.4446635266,10.31152916,80.3317073170732,2.61279
AUT,2010,5.73625993728638,46611.1393420232,10.31620026,80.5804878048781,2.74321
AUT,2011,5.62787008285522,51116.8953522042,10.1370182,80.9829268292683,2.68567
AUT,2012,5.51612997055054,48250.4059142637,10.30198097,80.9365853658537,2.93372
