Date Last Researched,Country/Area,Project Name,Phase Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Installation Type,Status,Start year,Retired year,Operator,Operator Name in Local Language / Script,Owner,Owner Name in Local Language / Script,Hydrogen,Associated Storage,Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM phase ID,Other IDs (location),Other IDs (unit/phase),Wiki URL
2025/06/10,Afghanistan,Herat wind farm,1,,,43,Onshore,construction,,,,,77 Construction Contracting & Trading Co [100%],,,,34.3529,62.204,approximate,,,,Herat,Southern Asia,Asia,L100000900709,G100000900812,,,https://www.gem.wiki/Herat_wind_farm
2025/06/10,Afghanistan,Herat wind farm,,,,157,Onshore,announced,,,,,,,,,34.3529,62.204,approximate,,,,Herat,Southern Asia,Asia,L100000900709,G100001054335,,,https://www.gem.wiki/Herat_wind_farm
2025/06/10,Afghanistan,Iran-Afghanistan wind farm,1,,,25,Onshore,shelved - inferred 2 y,,,,,,,,,33.7823,60.6459,approximate,,,Iran - Afghanistan Border,,Southern Asia,Asia,L100000900959,G100000908161,,,https://www.gem.wiki/Iran-Afghanistan_wind_farm
2025/06/10,Afghanistan,Iran-Afghanistan wind farm,2,,,25,Onshore,shelved - inferred 2 y,,,,,,,,,33.7823,60.6459,approximate,,,Iran - Afghanistan Border,,Southern Asia,Asia,L100000900959,G100000901101,,,https://www.gem.wiki/Iran-Afghanistan_wind_farm
2025/12/25,Åland Islands,Åland Energy Island wind farm,--,,,1000,Offshore mount unknown,announced,,,,,Lhyfe; Copenhagen Infrastructure Partners P/S; Flexens,,True,,59.6128,20.1957,approximate,,,,Åland,Northern Europe,Europe,L100001080832,G100001090786,,,https://www.gem.wiki/Åland_Energy_Island_wind_farm
2022/03/16,Åland Islands,Båtskär wind farm,--,,,14,Onshore,operating,2007,,,,Leovind Ab [100%],,,,59.9589,19.9543,exact,,Åland Islands,,,Northern Europe,Europe,L100000909808,G100000912593,,,https://www.gem.wiki/Båtskär_wind_farm
2024/01/02,Åland Islands,Långnabba wind farm,--,,,40,Offshore mount unknown,operating,2022,,,,Vind AX AB [100%],,,,60.1368,19.5655,exact,Eckerö,Åland Islands,,,Northern Europe,Europe,L100000914431,G100000917884,,,https://www.gem.wiki/Långnabba_wind_farm
2025/04/16,Åland Islands,Noatun Nord wind farm,--,,"Noatun Norra, Stormskär and Väderskär",5000,Offshore mount unknown,pre-construction,,,,,OX2 AB; Ålandsbanken [100%],,,,60.6241,19.9197,approximate,,Åland Islands,,,Northern Europe,Europe,L100000919278,G100000923761,,,https://www.gem.wiki/Noatun_Nord_wind_farm
2025/04/16,Åland Islands,Noatun Syd wind farm,--,,"Noatun Södra, Noatun South",3000,Offshore mount unknown,pre-construction,,,,,OX2 AB; Ålandsbanken [100%],,,,59.7503,20.4692,approximate,,Åland Islands,,,Northern Europe,Europe,L100000919279,G100000923762,,,https://www.gem.wiki/Noatun_Syd_wind_farm
2025/04/16,Åland Islands,Stenarna wind farm,--,,,20,Onshore,shelved - inferred 2 y,,,,,Ålands; Leovind Ab; Ålands Vindenergi Andelslag (ÅVA); Ålands Vindkraft AB,,,,60.1191,19.6843,exact,,Åland Islands,,,Northern Europe,Europe,L100000911703,G100000914717,,,https://www.gem.wiki/Stenarna_wind_farm
2025/04/16,Åland Islands,Stormskär wind farm,--,,,2000,Offshore mount unknown,pre-construction,,,,,Ilmatar Energy Oy [100%],,,,60.6241,19.9197,approximate,,Åland Islands,,,Northern Europe,Europe,L100000919280,G100000923763,,,https://www.gem.wiki/Stormskär_wind_farm
2025/12/24,Åland Islands,Sunnanvind wind farm,--,,,4000,Onshore,announced,,,,,Sunnanvind,,,,60.8199,19.7687,approximate,,,,Åland Islands,Northern Europe,Europe,L100001080830,G100001090776,,,https://www.gem.wiki/Sunnanvind_wind_farm
2025/04/16,Åland Islands,Väderskär wind farm,--,,,460,Offshore mount unknown,pre-construction,,,,,Ilmatar Energy Oy [100%],,,,60.6241,19.9197,approximate,,Åland Islands,,,Northern Europe,Europe,L100000919281,G100000923764,,,https://www.gem.wiki/Väderskär_wind_farm
2025/04/16,Åland Islands,Vågskär wind farm,--,,,1200,Offshore mount unknown,pre-construction,,,,,Ilmatar Energy Oy [100%],,,,60.6241,19.9197,approximate,,Åland Islands,,,Northern Europe,Europe,L100000919282,G100000923765,,,https://www.gem.wiki/Vågskär_wind_farm
2025/08/13,Albania,Devoll wind farm,--,,,450,Onshore,announced,,,,,RenX Albania,,,,40.5929,20.9315,approximate,,,,,Southern Europe,Europe,L100001047071,G100001053459,,,https://www.gem.wiki/Devoll_wind_farm
2025/05/16,Albania,Dropull wind farm,--,,,50,Onshore,shelved - inferred 2 y,,,,,EU Green Energy [100%],,,,39.9406,20.2478,approximate,,,,,Southern Europe,Europe,L100000919283,G100000923766,,,https://www.gem.wiki/Dropull_wind_farm
2025/08/13,Albania,Erseka wind farm,--,,,200,Onshore,announced,,,,,RenX Albania,,,,40.3385,20.6808,approximate,,,,,Southern Europe,Europe,L100001047072,G100001053460,,,https://www.gem.wiki/Erseka_wind_farm
2025/08/13,Albania,Gursi Energy wind farm,--,,,74.4,Onshore,announced,,,,,BRD Energy [20%]; Mogan Enerji Yatırım Holding AŞ [40%]; Güriş Holding AS [40%],,,,41.0906,19.5298,approximate,,,,,Southern Europe,Europe,L100001047075,G100001053463,,,https://www.gem.wiki/Gursi_Energy_wind_farm
2021/05/04,Albania,Kapshticë wind farm,--,,,150,Onshore,cancelled,,,HERA,,,,,,41.0001,20.0001,approximate,,,,,Southern Europe,Europe,L100000915885,G100000919629,,,https://www.gem.wiki/Kapshticë_wind_farm
2023/01/30,Albania,Karaburun Eurus wind farm,--,,,10,Onshore,cancelled - inferred 4 y,,,,,Eurus Energy [100%],株式会社ユーラスエナジーホールディングス,,,40.4667,19.4845,approximate,,,,,Southern Europe,Europe,L100000919284,G100000923767,,,https://www.gem.wiki/Karaburun_Eurus_wind_farm
2023/01/30,Albania,Karaburun WF wind farm,--,,,10,Onshore,cancelled - inferred 4 y,,,,,WF Energy Ltd [100%],,,,40.4667,19.4845,approximate,,,,,Southern Europe,Europe,L100000919285,G100000923768,,,https://www.gem.wiki/Karaburun_WF_wind_farm
