country_code,year,gdp,energy_use_per_capita
,1960,1093432780325.21,
,1960,1093432780325.21,
,1960,1093432780325.21,
,1960,1093432780325.21,
,1960,1093432780325.21,
,1960,,
,1960,,
,1960,,
,1960,,
,1960,,
,1960,85718645234.66,
,1960,85718645234.66,
,1960,85718645234.66,
,1960,85718645234.66,
,1960,85718645234.66,
,1960,,
,1960,,
,1960,,
,1960,,
,1960,,
,1960,168301179364.723,
,1960,168301179364.723,
,1960,168301179364.723,
,1960,168301179364.723,
,1960,168301179364.723,
,1961,1166232450158.12,
,1961,1166232450158.12,
,1961,1166232450158.12,
,1961,1166232450158.12,
,1961,1166232450158.12,
,1961,,
,1961,,
,1961,,
,1961,,
,1961,,
,1961,91375597712.0308,
,1961,91375597712.0308,
,1961,91375597712.0308,
,1961,91375597712.0308,
,1961,91375597712.0308,
,1961,,
,1961,,
,1961,,
,1961,,
,1961,,
,1961,165921579245.585,
,1961,165921579245.585,
,1961,165921579245.585,
,1961,165921579245.585,
,1961,165921579245.585,
,1962,1261142948234.93,
,1962,1261142948234.93,
,1962,1261142948234.93,
,1962,1261142948234.93,
,1962,1261142948234.93,
,1962,,
,1962,,
,1962,,
,1962,,
,1962,,
,1962,92791537815.2938,
,1962,92791537815.2938,
,1962,92791537815.2938,
,1962,92791537815.2938,
,1962,92791537815.2938,
,1962,,
,1962,,
,1962,,
,1962,,
,1962,,
,1962,167379651487.487,
,1962,167379651487.487,
,1962,167379651487.487,
,1962,167379651487.487,
,1962,167379651487.487,
,1963,1356475376143.07,
,1963,1356475376143.07,
,1963,1356475376143.07,
,1963,1356475376143.07,
,1963,1356475376143.07,
,1963,,
,1963,,
,1963,,
,1963,,
,1963,,
,1963,102654850184.887,
,1963,102654850184.887,
,1963,102654850184.887,
,1963,102654850184.887,
,1963,102654850184.887,
,1963,,
,1963,,
,1963,,
,1963,,
,1963,,
,1963,183977453340.648,
,1963,183977453340.648,
,1963,183977453340.648,
,1963,183977453340.648,
,1963,183977453340.648,
,1964,1482593892873.19,
,1964,1482593892873.19,
,1964,1482593892873.19,
,1964,1482593892873.19,
,1964,1482593892873.19,
,1964,,
,1964,,
,1964,,
,1964,,
,1964,,
,1964,115346299527.998,
,1964,115346299527.998,
,1964,115346299527.998,
,1964,115346299527.998,
,1964,115346299527.998,
,1964,,
,1964,,
,1964,,
,1964,,
,1964,,
,1964,210883041645.767,
,1964,210883041645.767,
,1964,210883041645.767,
,1964,210883041645.767,
,1964,210883041645.767,
,1965,1611497243980.64,
,1965,1611497243980.64,
,1965,1611497243980.64,
,1965,1611497243980.64,
,1965,1611497243980.64,
,1965,,
,1965,,
,1965,,
,1965,,
,1965,,
,1965,123581597701.261,
,1965,123581597701.261,
,1965,123581597701.261,
,1965,123581597701.261,
,1965,123581597701.261,
,1965,,
,1965,,
,1965,,
,1965,,
,1965,,
,1965,235905563168.848,
,1965,235905563168.848,
,1965,235905563168.848,
,1965,235905563168.848,
,1965,235905563168.848,
,1966,1763379068928.37,
,1966,1763379068928.37,
,1966,1763379068928.37,
,1966,1763379068928.37,
,1966,1763379068928.37,
,1966,,
,1966,,
,1966,,
,1966,,
,1966,,
,1966,112803578667.612,
,1966,112803578667.612,
,1966,112803578667.612,
,1966,112803578667.612,
,1966,112803578667.612,
,1966,,
,1966,,
,1966,,
,1966,,
,1966,,
,1966,260316790801.059,
,1966,260316790801.059,
,1966,260316790801.059,
,1966,260316790801.059,
,1966,260316790801.059,
,1967,1883767863914.37,
,1967,1883767863914.37,
,1967,1883767863914.37,
,1967,1883767863914.37,
,1967,1883767863914.37,
,1967,17168631140.7442,
,1967,17168631140.7442,
,1967,17168631140.7442,
,1967,17168631140.7442,
,1967,17168631140.7442,
,1967,120384771269.325,
,1967,120384771269.325,
,1967,120384771269.325,
,1967,120384771269.325,
,1967,120384771269.325,
,1967,,
,1967,,
,1967,,
,1967,,
,1967,,
,1967,263557167698.538,
,1967,263557167698.538,
,1967,263557167698.538,
,1967,263557167698.538,
,1967,263557167698.538,
,1968,2043305595056.53,
,1968,2043305595056.53,
,1968,2043305595056.53,
,1968,2043305595056.53,
,1968,2043305595056.53,
,1968,18643486433.0984,
,1968,18643486433.0984,
,1968,18643486433.0984,
,1968,18643486433.0984,
,1968,18643486433.0984,
,1968,127756036298.991,
,1968,127756036298.991,
,1968,127756036298.991,
,1968,127756036298.991,
,1968,127756036298.991,
,1968,,
,1968,,
,1968,,
,1968,,
,1968,,
,1968,278937183061.184,
,1968,278937183061.184,
,1968,278937183061.184,
,1968,278937183061.184,
,1968,278937183061.184,
,1969,2252164756856.4,
,1969,2252164756856.4,
,1969,2252164756856.4,
,1969,2252164756856.4,
,1969,2252164756856.4,
,1969,21687971434.1315,
,1969,21687971434.1315,
,1969,21687971434.1315,
,1969,21687971434.1315,
,1969,21687971434.1315,
,1969,141434554930.938,
,1969,141434554930.938,
,1969,141434554930.938,
,1969,141434554930.938,
,1969,141434554930.938,
,1969,,
,1969,,
,1969,,
,1969,,
,1969,,
,1969,313018349850.228,
,1969,313018349850.228,
,1969,313018349850.228,
,1969,313018349850.228,
,1969,313018349850.228,
,1970,2472351752906.22,
,1970,2472351752906.22,
,1970,2472351752906.22,
,1970,2472351752906.22,
,1970,2472351752906.22,
,1970,22138606272.5654,
,1970,22138606272.5654,
,1970,22138606272.5654,
,1970,22138606272.5654,
,1970,22138606272.5654,
,1970,153169378390.728,
,1970,153169378390.728,
,1970,153169378390.728,
,1970,153169378390.728,
,1970,153169378390.728,
,1970,,
,1970,,
,1970,,
,1970,,
,1970,,
,1970,343935285669.63,
,1970,343935285669.63,
,1970,343935285669.63,
,1970,343935285669.63,
,1970,343935285669.63,
,1971,2746785744349.68,
,1971,2746785744349.68,
,1971,2746785744349.68,
,1971,2746785744349.68,
,1971,2746785744349.68,
,1971,24678547941.9782,
,1971,24678547941.9782,
,1971,24678547941.9782,
,1971,24678547941.9782,
,1971,24678547941.9782,
,1971,159556712408.833,
,1971,159556712408.833,
,1971,159556712408.833,
